nt_ref,nt_text,ot_ref,ot_text
Mt 27:46,"And about the ninth hour Jesus cried with a loud voice, saying, Eli, Eli, lama sabachthani? that is to say, My God, my God, why hast thou forsaken me?",Ps 22:1,"My God, my God, why hast thou forsaken me? why art thou so far from helping me, and from the words of my roaring?"
"Mr 1:2,3","As it is written in the prophets, Behold, I send my messenger before thy face, which shall prepare thy way before thee.",Mal 3:1,"Behold, I will send my messenger, and he shall prepare the way before me: and the LORD, whom ye seek, shall suddenly come to his temple, even the messenger of the covenant, whom ye delight in: behold, he shall come, saith the LORD of hosts."
"Mr 1:2,3","As it is written in the prophets, Behold, I send my messenger before thy face, which shall prepare thy way before thee.",Isa 40:3,"The voice of him that crieth in the wilderness, Prepare ye the way of the LORD, make straight in the desert a highway for our God."
Mr 4:12,"That seeing they may see, and not perceive; and hearing they may hear, and not understand; lest at any time they should be converted, and their sins should be forgiven them.",Isa 6:9,"And he said, Go, and tell this people, Hear ye indeed, but understand not; and see ye indeed, but perceive not."
"Mr 7:6,7","He answered and said unto them, Well hath Esaias prophesied of you hypocrites, as it is written, This people honoureth me with their lips, but their heart is far from me.",Isa 29:13,"Wherefore the Lord said, Forasmuch as this people draw near me with their mouth, and with their lips do honour me, but have removed their heart far from me, and their fear toward me is taught by the precept of men:"
Mr 7:10,"For Moses said, Honour thy father and thy mother; and, Whoso curseth father or mother, let him die the death:",Ex 20:12,Honor thy father and thy mother: that thy days may be long upon the land which the LORD thy God giveth thee.
Mr 7:10,"For Moses said, Honour thy father and thy mother; and, Whoso curseth father or mother, let him die the death:",De 5:16,"Honor thy father and thy mother, as the LORD thy God hath commanded thee; that thy days may be prolonged, and that it may go well with thee, in the land which the LORD thy God giveth thee."
Mr 7:10,"For Moses said, Honour thy father and thy mother; and, Whoso curseth father or mother, let him die the death:",Ex 21:17,"And he that curseth his father, or his mother, shall surely be put to death."
Mr 7:10,"For Moses said, Honour thy father and thy mother; and, Whoso curseth father or mother, let him die the death:",Pr 20:20,"Whoso curseth his father or his mother, his lamp shall be put out in obscure darkness."
Mr 10:6,But from the beginning of the creation God made them male and female.,Ge 1:27,"So God created man in his own image, in the image of God created he him; male and female created he them."
Mr 10:7,"For this cause shall a man leave his father and mother, and cleave to his wife;",Ge 2:24,"Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh."
Mr 10:19,"Thou knowest the commandments, Do not commit adultery, Do not kill, Do not steal, Do not bear false witness, Defraud not, Honour thy father and mother.","Ex 20:12,13,14",Honor thy father and thy mother: that thy days may be long upon the land which the LORD thy God giveth thee.
Mr 11:9,"And they that went before, and they that followed, cried, saying, Hosanna; Blessed is he that cometh in the name of the Lord:",Ps 118:26,Blessed be he that cometh in the name of the LORD: we have blessed you out of the house of the LORD.
Mr 11:17,"And he taught, saying unto them, Is it not written, My house shall be called of all nations the house of prayer? but ye have made it a den of thieves.",Isa 56:7,"Even them will I bring to my holy mountain, and make them joyful in my house of prayer: their burnt offerings and their sacrifices shall be accepted upon mine altar; for mine house shall be called an house of prayer for all people."
Mr 11:17,"And he taught, saying unto them, Is it not written, My house shall be called of all nations the house of prayer? but ye have made it a den of thieves.",Jer 7:11,"Is this house, which is called by my name, become a den of robbers in your eyes? Behold, even I have seen it, saith the LORD."
"Mr 12:10,11",And have ye not read this scripture; The stone which the builders rejected is become the head of the corner:,"Ps 118:22,23",The stone which the builders refused is become the head stone of the corner.
Mr 12:19,"Master, Moses wrote unto us, If a man's brother die, and leave his wife behind him, and leave no children, that his brother should take his wife, and raise up seed unto his brother.",De 25:5,"If brethren dwell together, and one of them die, and have no child, the wife of the dead shall not marry without unto a stranger: her husband's brother shall go in unto her, and take her to him to wife, and perform the duty of an husband's brother unto her."
Mr 12:26,"And as touching the dead, that they rise: have ye not read in the book of Moses, how in the bush God spake unto him, saying, I am the God of Abraham, and the God of Isaac, and the God of Jacob?",Ex 3:6,"Moreover he said, I am the God of thy father, the God of Abraham, the God of Isaac, and the God of Jacob. And Moses hid his face; for he was afraid to look upon God."
"Mr 12:29,30","And Jesus answered him, The first of all the commandments is, Hear, O Israel; The Lord our God is one Lord:","De 6:4,5","Hear, O Israel: The LORD our God is one LORD:"
Mr 12:31,"And the second is like, namely this, Thou shalt love thy neighbour as thyself. There is none other commandment greater than these.",Le 19:18,"Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbor as thyself: I am the LORD."
Mr 12:36,"For David himself said by the Holy Ghost, The LORD said to my Lord, Sit thou on my right hand, till I make thine enemies thy footstool.",Ps 110:1,"The LORD said unto my Lord, Sit thou at my right hand, until I make thine enemies thy footstool."
Mr 14:27,"And Jesus saith unto them, All ye shall be offended because of me this night: for it is written, I will smite the shepherd, and the sheep shall be scattered.",Zec 13:7,"Awake, O sword, against my shepherd, and against the man that is my fellow, saith the LORD of hosts: smite the shepherd, and the sheep shall be scattered: and I will turn mine hand upon the little ones."
Mr 15:28,"And the scripture was fulfilled, which saith, And he was numbered with the transgressors.",Isa 53:12,"Therefore will I divide him a portion with the great, and he shall divide the spoil with the strong; because he hath poured out his soul unto death: and he was numbered with the transgressors; and he bare the sin of many, and made intercession for the transgressors."
Mr 15:34,"And at the ninth hour Jesus cried with a loud voice, saying, Eloi, Eloi, lama sabachthani? which is, being interpreted, My God, my God, why hast thou forsaken me?",Ps 22:1,"My God, my God, why hast thou forsaken me? why art thou so far from helping me, and from the words of my roaring?"
Lu 1:17,"And he shall go before him in the spirit and power of Elias, to turn the hearts of the fathers to the children, and the disobedient to the wisdom of the just; to make ready a people prepared for the Lord.","Mal 4:5,6","Behold, I will send you Elijah the prophet before the coming of the great and dreadful day of the LORD:"
Lu 2:23,"(As it is written in the law of the LORD, Every male that openeth the womb shall be called holy to the Lord;)",Ex 13:2,"Sanctify unto me all the firstborn, whatsoever openeth the womb among the children of Israel, both of man and of beast: it is mine."
Lu 2:24,"And to offer a sacrifice according to that which is said in the law of the Lord, A pair of turtledoves, or two young pigeons.",Le 12:8,"And if she be not able to bring a lamb, then she shall bring two turtles, or two young pigeons; the one for the burnt offering, and the other for a sin offering: and the priest shall make an atonement for her, and she shall be clean."
"Lu 3:4,5,6","As it is written in the book of the words of Esaias the prophet, saying, The voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight.","Isa 40:3,4,5","The voice of him that crieth in the wilderness, Prepare ye the way of the LORD, make straight in the desert a highway for our God."
Lu 4:4,"And Jesus answered him, saying, It is written, That man shall not live by bread alone, but by every word of God.",De 8:3,"And he humbled thee, and suffered thee to hunger, and fed thee with manna, which thou knewest not, neither did thy fathers know; that he might make thee know that man doth not live by bread only, but by every word that proceedeth out of the mouth of the LORD doth man live."
Lu 4:8,"And Jesus answered and said unto him, Get thee behind me, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve.",De 6:13,"Thou shalt fear the LORD thy God, and serve him, and shalt swear by his name."
Lu 4:8,"And Jesus answered and said unto him, Get thee behind me, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve.",De 10:20,"Thou shalt fear the LORD thy God; him shalt thou serve, and to him shalt thou cleave, and swear by his name."
"Lu 4:10,11","For it is written, He shall give his angels charge over thee, to keep thee:","Ps 91:11,12","For he shall give his angels charge over thee, to keep thee in all thy ways."
Lu 4:12,"And Jesus answering said unto him, It is said, Thou shalt not tempt the Lord thy God.",De 6:16,"Ye shall not tempt the LORD your God, as ye tempted him in Massah."
"Lu 4:18,19","The Spirit of the Lord is upon me, because he hath anointed me to preach the gospel to the poor; he hath sent me to heal the brokenhearted, to preach deliverance to the captives, and recovering of sight to the blind, to set at liberty them that are bruised,","Isa 61:1,2","The Spirit of the Lord GOD is upon me; because the LORD hath anointed me to preach good tidings unto the meek; he hath sent me to bind up the brokenhearted, to proclaim liberty to the captives, and the opening of the prison to them that are bound;"
Lu 7:27,"This is he, of whom it is written, Behold, I send my messenger before thy face, which shall prepare thy way before thee.",Mal 3:1,"Behold, I will send my messenger, and he shall prepare the way before me: and the LORD, whom ye seek, shall suddenly come to his temple, even the messenger of the covenant, whom ye delight in: behold, he shall come, saith the LORD of hosts."
Lu 8:10,"And he said, Unto you it is given to know the mysteries of the kingdom of God: but to others in parables; that seeing they might not see, and hearing they might not understand.",Isa 6:9,"And he said, Go, and tell this people, Hear ye indeed, but understand not; and see ye indeed, but perceive not."
Lu 10:27,"And he answering said, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy strength, and with all thy mind; and thy neighbour as thyself.",De 6:5,"And thou shalt love the LORD thy God with all thine heart, and with all thy soul, and with all thy might."
Lu 10:27,"And he answering said, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy strength, and with all thy mind; and thy neighbour as thyself.",Le 19:18,"Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbor as thyself: I am the LORD."
Lu 13:27,"But he shall say, I tell you, I know you not whence ye are; depart from me, all ye workers of iniquity.",Ps 6:8,"Depart from me, all ye workers of iniquity; for the LORD hath heard the voice of my weeping."
Lu 18:20,"Thou knowest the commandments, Do not commit adultery, Do not kill, Do not steal, Do not bear false witness, Honour thy father and thy mother.",Ex 20:12-16,Honor thy father and thy mother: that thy days may be long upon the land which the LORD thy God giveth thee.
Lu 18:20,"Thou knowest the commandments, Do not commit adultery, Do not kill, Do not steal, Do not bear false witness, Honour thy father and thy mother.",De 5:16-20,"Honor thy father and thy mother, as the LORD thy God hath commanded thee; that thy days may be prolonged, and that it may go well with thee, in the land which the LORD thy God giveth thee."
Lu 19:46,"Saying unto them, It is written, My house is the house of prayer: but ye have made it a den of thieves.",Isa 56:7,"Even them will I bring to my holy mountain, and make them joyful in my house of prayer: their burnt offerings and their sacrifices shall be accepted upon mine altar; for mine house shall be called an house of prayer for all people."
Lu 19:46,"Saying unto them, It is written, My house is the house of prayer: but ye have made it a den of thieves.",Jer 7:11,"Is this house, which is called by my name, become a den of robbers in your eyes? Behold, even I have seen it, saith the LORD."
Lu 20:17,"And he beheld them, and said, What is this then that is written, The stone which the builders rejected, the same is become the head of the corner?","Ps 118:22,23",The stone which the builders refused is become the head stone of the corner.
Lu 20:28,"Saying, Master, Moses wrote unto us, If any man's brother die, having a wife, and he die without children, that his brother should take his wife, and raise up seed unto his brother.",De 25:5,"If brethren dwell together, and one of them die, and have no child, the wife of the dead shall not marry without unto a stranger: her husband's brother shall go in unto her, and take her to him to wife, and perform the duty of an husband's brother unto her."
"Lu 20:42,43","And David himself saith in the book of Psalms, The LORD said unto my Lord, Sit thou on my right hand,",Ps 110:1,"The LORD said unto my Lord, Sit thou at my right hand, until I make thine enemies thy footstool."
Lu 22:37,"For I say unto you, that this that is written must yet be accomplished in me, And he was reckoned among the transgressors: for the things concerning me have an end.",Isa 53:12,"Therefore will I divide him a portion with the great, and he shall divide the spoil with the strong; because he hath poured out his soul unto death: and he was numbered with the transgressors; and he bare the sin of many, and made intercession for the transgressors."
Lu 23:46,"And when Jesus had cried with a loud voice, he said, Father, into thy hands I commend my spirit: and having said thus, he gave up the ghost.",Ps 31:5,"Into thine hand I commit my spirit: thou hast redeemed me, O LORD God of truth."
Joh 1:23,"He said, I am the voice of one crying in the wilderness, Make straight the way of the Lord, as said the prophet Esaias.",Isa 40:3,"The voice of him that crieth in the wilderness, Prepare ye the way of the LORD, make straight in the desert a highway for our God."
Joh 2:17,"And his disciples remembered that it was written, The zeal of thine house hath eaten me up.",Ps 69:9,For the zeal of thine house hath eaten me up; and the reproaches of them that reproached thee are fallen upon me.
Joh 6:31,"Our fathers did eat manna in the desert; as it is written, He gave them bread from heaven to eat.",Ps 78:24,"And had rained down manna upon them to eat, and had given them of the corn of heaven."
Joh 6:45,"It is written in the prophets, And they shall be all taught of God. Every man therefore that hath heard, and hath learned of the Father, cometh unto me.",Isa 54:13,And all thy children shall be taught of the LORD; and great shall be the peace of thy children.
Joh 8:17,"It is also written in your law, that the testimony of two men is true.",De 19:15,"One witness shall not rise up against a man for any iniquity, or for any sin, in any sin that he sinneth: at the mouth of two witnesses, or at the mouth of three witnesses, shall the matter be established."
Joh 9:31,"Now we know that God heareth not sinners: but if any man be a worshipper of God, and doeth his will, him he heareth.",Ps 82:6,"I have said, Ye are gods; and all of you are children of the most High."
"Joh 12:14,15","And Jesus, when he had found a young ass, sat thereon; as it is written,",Zec 9:9,"Rejoice greatly, O daughter of Zion; shout, O daughter of Jerusalem: behold, thy King cometh unto thee: he is just, and having salvation; lowly, and riding upon an ass, and upon a colt the foal of an ass."
Joh 12:38,"That the saying of Esaias the prophet might be fulfilled, which he spake, Lord, who hath believed our report? and to whom hath the arm of the Lord been revealed?",Isa 53:1,Who hath believed our report? and to whom is the arm of the LORD revealed?
Joh 12:40,"He hath blinded their eyes, and hardened their heart; that they should not see with their eyes, nor understand with their heart, and be converted, and I should heal them.",Isa 6:9,"And he said, Go, and tell this people, Hear ye indeed, but understand not; and see ye indeed, but perceive not."
Joh 13:18,"I speak not of you all: I know whom I have chosen: but that the scripture may be fulfilled, He that eateth bread with me hath lifted up his heel against me.",Ps 41:9,"Yea, mine own familiar friend, in whom I trusted, which did eat of my bread, hath lifted up his heel against me."
Joh 15:25,"But this cometh to pass, that the word might be fulfilled that is written in their law, They hated me without a cause.",Ps 69:4,"They that hate me without a cause are more than the hairs of mine head: they that would destroy me, being mine enemies wrongfully, are mighty: then I restored that which I took not away."
Joh 15:25,"But this cometh to pass, that the word might be fulfilled that is written in their law, They hated me without a cause.",Ps 109:3,They compassed me about also with words of hatred; and fought against me without a cause.
Joh 15:25,"But this cometh to pass, that the word might be fulfilled that is written in their law, They hated me without a cause.",Ps 35:19,Let not them that are mine enemies wrongfully rejoice over me: neither let them wink with the eye that hate me without a cause.
Joh 19:24,"They said therefore among themselves, Let us not rend it, but cast lots for it, whose it shall be: that the scripture might be fulfilled, which saith, They parted my raiment among them, and for my vesture they did cast lots. These things therefore the soldiers did.",Ps 22:19,"But be not thou far from me, O LORD: O my strength, haste thee to help me."
Joh 19:36,"For these things were done, that the scripture should be fulfilled, A bone of him shall not be broken.",Ex 12:46,In one house shall it be eaten; thou shalt not carry forth ought of the flesh abroad out of the house; neither shall ye break a bone thereof.
Joh 19:36,"For these things were done, that the scripture should be fulfilled, A bone of him shall not be broken.",Ps 34:20,He keepeth all his bones: not one of them is broken.
Joh 19:37,"And again another scripture saith, They shall look on him whom they pierced.",Zec 12:10,"And I will pour upon the house of David, and upon the inhabitants of Jerusalem, the spirit of grace and of supplications: and they shall look upon me whom they have pierced, and they shall mourn for him, as one mourneth for his only son, and shall be in bitterness for him, as one that is in bitterness for his firstborn."
Ac 1:20,"For it is written in the book of Psalms, Let his habitation be desolate, and let no man dwell therein: and his bishoprick let another take.",Ps 69:25,Let their habitation be desolate; and let none dwell in their tents.
Ac 1:20,"For it is written in the book of Psalms, Let his habitation be desolate, and let no man dwell therein: and his bishoprick let another take.",Ps 109:8,Let his days be few; and let another take his office.
Ac 2:17-21,"And it shall come to pass in the last days, saith God, I will pour out of my Spirit upon all flesh: and your sons and your daughters shall prophesy, and your young men shall see visions, and your old men shall dream dreams:",Joe 2:28-32,"And it shall come to pass afterward, that I will pour out my spirit upon all flesh; and your sons and your daughters shall prophesy, your old men shall dream dreams, your young men shall see visions:"
Ac 2:25-28,"For David speaketh concerning him, I foresaw the Lord always before my face, for he is on my right hand, that I should not be moved:",Ps 16:8-10,"I have set the LORD always before me: because he is at my right hand, I shall not be moved."
Ac 2:31,"He seeing this before spake of the resurrection of Christ, that his soul was not left in hell, neither his flesh did see corruption.",Ps 16:10,For thou wilt not leave my soul in hell; neither wilt thou suffer thine Holy One to see corruption.
Ac 2:34,"For David is not ascended into the heavens: but he saith himself, The Lord said unto my Lord, Sit thou on my right hand,",Ps 110:1,"The LORD said unto my Lord, Sit thou at my right hand, until I make thine enemies thy footstool."
"Ac 3:22,23","For Moses truly said unto the fathers, A prophet shall the Lord your God raise up unto you of your brethren, like unto me; him shall ye hear in all things whatsoever he shall say unto you.","De 18:15,18,19","The LORD thy God will raise up unto thee a Prophet from the midst of thee, of thy brethren, like unto me; unto him ye shall hearken;"
Ac 3:25,"Ye are the children of the prophets, and of the covenant which God made with our fathers, saying unto Abraham, And in thy seed shall all the kindreds of the earth be blessed.",Ge 22:18,And in thy seed shall all the nations of the earth be blessed; because thou hast obeyed my voice.
Ac 4:11,"This is the stone which was set at nought of you builders, which is become the head of the corner.","Ps 118:22,23",The stone which the builders refused is become the head stone of the corner.
"Ac 4:25,26","Who by the mouth of thy servant David hast said, Why did the heathen rage, and the people imagine vain things?","Ps 2:1,2","Why do the heathen rage, and the people imagine a vain thing?"
